,date,tofu,kale,vegetarian,healthy food,isPartial
0,2008-01-01,26,10,72,18,False
1,2008-02-01,27,10,70,15,False
2,2008-03-01,24,10,61,16,False
3,2008-04-01,23,9,66,18,False
4,2008-05-01,24,7,57,15,False
5,2008-06-01,22,11,60,15,False
6,2008-07-01,25,13,64,13,False
7,2008-08-01,23,10,59,13,False
8,2008-09-01,23,9,61,16,False
9,2008-10-01,21,11,64,16,False
10,2008-11-01,21,12,72,14,False
11,2008-12-01,19,9,64,12,False
12,2009-01-01,30,13,78,19,False
13,2009-02-01,28,11,64,17,False
14,2009-03-01,25,12,65,18,False
15,2009-04-01,26,9,65,18,False
16,2009-05-01,23,11,56,14,False
17,2009-06-01,24,13,61,14,False
18,2009-07-01,25,13,67,14,False
19,2009-08-01,24,11,66,14,False
20,2009-09-01,23,13,66,14,False
21,2009-10-01,23,13,64,15,False
22,2009-11-01,23,15,82,15,False
23,2009-12-01,24,12,69,14,False
24,2010-01-01,30,17,77,18,False
25,2010-02-01,28,15,74,19,False
26,2010-03-01,26,17,70,18,False
27,2010-04-01,26,14,68,18,False
28,2010-05-01,25,17,66,17,False
29,2010-06-01,24,17,63,14,False
30,2010-07-01,25,16,63,14,False
31,2010-08-01,25,13,58,13,False
32,2010-09-01,24,17,62,15,False
33,2010-10-01,23,20,67,15,False
34,2010-11-01,24,18,69,15,False
35,2010-12-01,23,16,68,13,False
36,2011-01-01,32,27,82,22,False
37,2011-02-01,31,25,77,19,False
38,2011-03-01,31,27,72,19,False
39,2011-04-01,30,26,73,18,False
40,2011-05-01,28,26,68,18,False
41,2011-06-01,28,27,65,17,False
42,2011-07-01,30,29,67,18,False
43,2011-08-01,29,28,67,15,False
44,2011-09-01,29,29,73,16,False
45,2011-10-01,28,33,76,18,False
46,2011-11-01,29,34,79,17,False
47,2011-12-01,27,32,72,15,False
48,2012-01-01,36,49,82,21,False
49,2012-02-01,35,43,80,20,False
50,2012-03-01,35,49,77,19,False
51,2012-04-01,33,44,77,21,False
52,2012-05-01,30,42,65,19,False
53,2012-06-01,30,49,68,19,False
54,2012-07-01,31,47,70,20,False
55,2012-08-01,29,46,66,19,False
56,2012-09-01,29,47,71,19,False
57,2012-10-01,25,48,67,18,False
58,2012-11-01,27,46,73,16,False
59,2012-12-01,24,42,71,14,False
60,2013-01-01,35,73,84,23,False
61,2013-02-01,35,65,79,22,False
62,2013-03-01,34,70,77,21,False
63,2013-04-01,31,66,65,23,False
64,2013-05-01,31,65,67,20,False
65,2013-06-01,32,73,66,20,False
66,2013-07-01,31,71,68,19,False
67,2013-08-01,30,68,68,19,False
68,2013-09-01,30,69,71,19,False
69,2013-10-01,27,66,70,20,False
70,2013-11-01,28,66,78,19,False
71,2013-12-01,25,53,70,16,False
72,2014-01-01,35,89,81,24,False
73,2014-02-01,33,73,74,21,False
74,2014-03-01,33,77,75,24,False
75,2014-04-01,31,68,67,22,False
76,2014-05-01,30,65,61,21,False
77,2014-06-01,29,68,62,19,False
78,2014-07-01,31,68,67,20,False
79,2014-08-01,27,61,62,18,False
80,2014-09-01,27,56,63,19,False
81,2014-10-01,27,57,64,19,False
82,2014-11-01,28,56,72,17,False
83,2014-12-01,24,47,63,16,False
84,2015-01-01,34,76,72,23,False
85,2015-02-01,31,62,66,23,False
86,2015-03-01,28,59,65,21,False
87,2015-04-01,31,57,60,21,False
88,2015-05-01,28,55,58,20,False
89,2015-06-01,27,58,61,19,False
90,2015-07-01,30,58,62,20,False
91,2015-08-01,29,55,64,19,False
92,2015-09-01,26,48,61,19,False
93,2015-10-01,26,53,67,19,False
94,2015-11-01,27,53,74,19,False
95,2015-12-01,28,44,71,17,False
96,2016-01-01,34,68,80,25,False
97,2016-02-01,32,55,74,24,False
98,2016-03-01,33,54,73,24,False
99,2016-04-01,31,50,70,23,False
100,2016-05-01,31,51,71,22,False
101,2016-06-01,30,49,66,22,False
102,2016-07-01,29,46,68,20,False
103,2016-08-01,29,42,65,20,False
104,2016-09-01,29,41,63,21,False
105,2016-10-01,28,40,68,21,False
106,2016-11-01,26,40,70,20,False
107,2016-12-01,27,38,72,18,False
108,2017-01-01,35,57,80,28,False
109,2017-02-01,32,49,75,27,False
110,2017-03-01,34,49,77,27,False
111,2017-04-01,33,48,73,27,False
112,2017-05-01,31,43,66,27,False
113,2017-06-01,33,46,72,25,False
114,2017-07-01,38,51,93,26,False
115,2017-08-01,39,44,84,24,False
116,2017-09-01,36,40,82,23,False
117,2017-10-01,35,45,83,24,False
118,2017-11-01,35,46,88,22,False
119,2017-12-01,32,39,87,21,False
120,2018-01-01,44,56,100,30,False
121,2018-02-01,42,49,91,30,False
122,2018-03-01,39,43,86,30,False
123,2018-04-01,37,46,78,30,False
124,2018-05-01,36,41,75,28,False
125,2018-06-01,36,43,77,30,False
126,2018-07-01,38,45,77,29,False
127,2018-08-01,35,39,73,29,False
128,2018-09-01,35,38,74,28,False
129,2018-10-01,34,39,79,26,False
130,2018-11-01,34,41,78,25,False
131,2018-12-01,34,37,84,24,False
