Index;id;minutes;submitted;n_steps;n_ingredients;year;calories;total_fat;sugar;sodium;protein;saturated_fat;carbohydrates;healthy
115;453467;45;11/04/2011;12;11;2011;595,1;46;211;22;13;51;26;FALSE
125;475785;90;06/03/2012;17;13;2012;267;30;12;12;29;48;2;FALSE
135;503475;50;08/07/2013;10;10;2013;358,2;30;62;14;19;54;12;FALSE
136;522861;50;25/07/2015;10;8;2015;1003,8;72;21;103;69;143;37;FALSE
137;457136;40;23/05/2011;14;10;2011;708,6;52;19;24;46;104;25;FALSE
138;455351;55;07/05/2011;15;8;2011;651,8;33;12;16;32;63;33;FALSE
140;428056;150;01/06/2010;14;11;2010;33,2;0;12;25;1;0;2;FALSE
142;523359;55;27/08/2015;16;14;2015;259,7;23;18;31;34;28;4;FALSE
159;445026;68;29/12/2010;11;12;2010;484,1;42;7;32;75;31;6;FALSE
172;474769;40;22/02/2012;21;10;2012;325,2;23;7;13;34;40;10;FALSE
258;353171;75;31/01/2009;6;6;2009;1582,6;88;402;27;96;156;73;FALSE
259;354039;30;05/02/2009;15;8;2009;222,2;5;108;7;7;5;15;TRUE
262;365946;75;14/04/2009;25;11;2009;625,9;69;134;17;22;138;15;FALSE
274;356803;105;20/02/2009;18;22;2009;566,7;43;40;36;81;52;11;FALSE
292;347252;30;06/01/2009;7;17;2009;188,2;16;46;19;17;20;4;FALSE
307;487173;45;19/09/2012;30;8;2012;276;34;8;29;27;42;1;FALSE
312;356884;25;20/02/2009;12;10;2009;233;12;96;5;6;23;12;FALSE
320;447429;60;26/01/2011;24;17;2011;971,3;99;30;65;88;163;18;FALSE
326;467795;94;08/11/2011;7;8;2011;49,6;1;0;16;11;0;2;FALSE
329;513531;50;21/02/2014;26;18;2014;291,5;13;85;25;13;7;16;TRUE
332;435497;50;19/08/2010;8;10;2010;339,3;34;28;8;15;27;10;FALSE
333;392158;50;28/09/2009;12;13;2009;323,5;13;9;32;40;12;13;TRUE
335;505132;50;01/08/2013;18;5;2013;150;11;73;4;4;23;6;FALSE
336;399278;30;13/11/2009;7;10;2009;190,8;29;7;62;2;13;1;FALSE
341;357497;62;23/02/2009;9;9;2009;340,7;13;207;6;4;9;21;TRUE
363;369169;30;04/05/2009;10;10;2009;166,8;12;14;12;14;21;5;FALSE
371;419921;60;12/04/2010;15;13;2010;112,4;4;37;5;5;7;6;TRUE
372;368320;25;28/04/2009;9;5;2009;552,2;54;53;13;36;95;13;FALSE
373;392150;21;28/09/2009;5;12;2009;23,3;0;11;4;1;0;1;FALSE
